	full_img_path	annotation	x	y	width	height
54	Data/annotations/csv/06-20 Product1/IMG_20210618_165517.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.444429	0.500000	0.455160	1.000000
57	Data/annotations/csv/06-20 Product1/IMG_20210618_165521.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.512426	0.479478	0.398265	0.793702
61	Data/annotations/csv/06-20 Product1/IMG_20210618_165522.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.434679	0.501227	0.402457	0.778862
206	Data/annotations/csv/06-20 Product1/IMG_20210618_165607.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.522998	0.479129	0.258723	0.564810
936	Data/annotations/csv/06-20 Product1/IMG_20210618_165745.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.533806	0.388545	0.131877	0.284688
70	Data/annotations/csv/06-20 Product1/IMG_20210618_165525.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.439364	0.547042	0.380897	0.755478
210	Data/annotations/csv/06-20 Product1/IMG_20210618_165609.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.480662	0.467133	0.252973	0.551139
307	Data/annotations/csv/06-20 Product1/IMG_20210618_165625.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.532254	0.589885	0.094449	0.196912
218	Data/annotations/csv/06-20 Product1/IMG_20210618_165613.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.481786	0.541124	0.229976	0.492140
754	Data/annotations/csv/06-20 Product1/IMG_20210618_165659.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.445302	0.566848	0.361733	0.802246
758	Data/annotations/csv/06-20 Product1/IMG_20210618_165700.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.444846	0.552493	0.366524	0.813038
761	Data/annotations/csv/06-20 Product1/IMG_20210618_165702.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.483679	0.551137	0.366045	0.811599
764	Data/annotations/csv/06-20 Product1/IMG_20210618_165702__01.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.475058	0.542636	0.376106	0.841818
870	Data/annotations/csv/06-20 Product1/IMG_20210618_165739.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.557451	0.414067	0.127952	0.281152
767	Data/annotations/csv/06-20 Product1/IMG_20210618_165705.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.380298	0.563414	0.350713	0.810160
771	Data/annotations/csv/06-20 Product1/IMG_20210618_165706.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.392967	0.562126	0.366524	0.814837
775	Data/annotations/csv/06-20 Product1/IMG_20210618_165707.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.412950	0.561440	0.364128	0.813038
778	Data/annotations/csv/06-20 Product1/IMG_20210618_165708.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.454258	0.571739	0.359337	0.807642
782	Data/annotations/csv/06-20 Product1/IMG_20210618_165709.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.480667	0.563109	0.360295	0.814477
786	Data/annotations/csv/06-20 Product1/IMG_20210618_165710.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.508118	0.543343	0.354546	0.828867
858	Data/annotations/csv/06-20 Product1/IMG_20210618_165738.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.555179	0.427071	0.130504	0.289551
789	Data/annotations/csv/06-20 Product1/IMG_20210618_165711.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.526342	0.500407	0.371315	0.847215
792	Data/annotations/csv/06-20 Product1/IMG_20210618_165712.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.493459	0.505871	0.376106	0.820233
795	Data/annotations/csv/06-20 Product1/IMG_20210618_165713.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.506202	0.495404	0.359337	0.791453
798	Data/annotations/csv/06-20 Product1/IMG_20210618_165718.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.406293	0.467973	0.352629	0.777063
853	Data/annotations/csv/06-20 Product1/IMG_20210618_165735.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.443357	0.405057	0.193793	0.423643
802	Data/annotations/csv/06-20 Product1/IMG_20210618_165720.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.534309	0.465629	0.348796	0.771307
806	Data/annotations/csv/06-20 Product1/IMG_20210618_165724.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.388935	0.441598	0.356941	0.786057
810	Data/annotations/csv/06-20 Product1/IMG_20210618_165725.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.400896	0.474239	0.341131	0.738210
846	Data/annotations/csv/06-20 Product1/IMG_20210618_165734.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.453668	0.404611	0.185514	0.417887
814	Data/annotations/csv/06-20 Product1/IMG_20210618_165729.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.477154	0.425154	0.176621	0.402461
822	Data/annotations/csv/06-20 Product1/IMG_20210618_165730.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.490709	0.422040	0.174168	0.387726
751	Data/annotations/csv/06-20 Product1/IMG_20210618_165658.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.395357	0.584081	0.354546	0.780661
214	Data/annotations/csv/06-20 Product1/IMG_20210618_165610.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.447911	0.458545	0.247224	0.549700
747	Data/annotations/csv/06-20 Product1/IMG_20210618_165657.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.383195	0.600389	0.359337	0.775264
717	Data/annotations/csv/06-20 Product1/IMG_20210618_165648.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.572096	0.543018	0.089174	0.186727
222	Data/annotations/csv/06-20 Product1/IMG_20210618_165614.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.427113	0.533270	0.243774	0.507681
225	Data/annotations/csv/06-20 Product1/IMG_20210618_165617.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.493614	0.528748	0.260639	0.555456
229	Data/annotations/csv/06-20 Product1/IMG_20210618_165621.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.526650	0.557528	0.094449	0.194649
256	Data/annotations/csv/06-20 Product1/IMG_20210618_165622.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.521594	0.566914	0.095956	0.196158
281	Data/annotations/csv/06-20 Product1/IMG_20210618_165624.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.509065	0.583594	0.092942	0.196158
839	Data/annotations/csv/06-20 Product1/IMG_20210618_165733.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.482683	0.406145	0.188887	0.407066
332	Data/annotations/csv/06-20 Product1/IMG_20210618_165626.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.539547	0.593605	0.091058	0.194743
898	Data/annotations/csv/06-20 Product1/IMG_20210618_165741.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.500308	0.411286	0.123242	0.271132
357	Data/annotations/csv/06-20 Product1/IMG_20210618_165627.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.505095	0.596469	0.091058	0.197573
383	Data/annotations/csv/06-20 Product1/IMG_20210618_165628.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.516603	0.614890	0.095454	0.199459
408	Data/annotations/csv/06-20 Product1/IMG_20210618_165630.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.481002	0.609583	0.101106	0.207003
432	Data/annotations/csv/06-20 Product1/IMG_20210618_165631.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.452448	0.602848	0.096710	0.206060
458	Data/annotations/csv/06-20 Product1/IMG_20210618_165632.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.450614	0.588988	0.093947	0.207097
482	Data/annotations/csv/06-20 Product1/IMG_20210618_165634.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.435775	0.576553	0.097338	0.200402
507	Data/annotations/csv/06-20 Product1/IMG_20210618_165636.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.473354	0.584981	0.095454	0.201816
532	Data/annotations/csv/06-20 Product1/IMG_20210618_165637.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.479406	0.602619	0.092942	0.196629
557	Data/annotations/csv/06-20 Product1/IMG_20210618_165638.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.517599	0.612058	0.095454	0.199459
582	Data/annotations/csv/06-20 Product1/IMG_20210618_165641.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.441766	0.592979	0.094198	0.196629
609	Data/annotations/csv/06-20 Product1/IMG_20210618_165642.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.434324	0.589484	0.092314	0.193800
637	Data/annotations/csv/06-20 Product1/IMG_20210618_165644.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.474582	0.572484	0.088546	0.190500
664	Data/annotations/csv/06-20 Product1/IMG_20210618_165645.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.486857	0.552474	0.089802	0.189556
884	Data/annotations/csv/06-20 Product1/IMG_20210618_165740.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.520958	0.415683	0.126382	0.272311
691	Data/annotations/csv/06-20 Product1/IMG_20210618_165646.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.498191	0.548497	0.086034	0.188142
743	Data/annotations/csv/06-20 Product1/IMG_20210618_165656.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.344767	0.574502	0.362331	0.813938
0	Data/annotations/csv/06-20 Product1/IMG_20210618_165445.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.347070	0.500000	0.586917	1.000000
